operator_id,operator,year,metric_key,status
china_broadnet,中国广电,2022,mobile_arpu,source_gap_confirmed
china_broadnet,中国广电,2022,broadband_arpu,source_gap_confirmed
china_broadnet,中国广电,2022,mobile_dou,source_gap_confirmed
china_broadnet,中国广电,2022,total_data_traffic,source_gap_confirmed
china_broadnet,中国广电,2022,5g_base_stations,available
china_broadnet,中国广电,2022,cable_tv_actual_users,available
china_broadnet,中国广电,2022,revenue,source_gap_confirmed
china_broadnet,中国广电,2022,ebitda,source_gap_confirmed
china_broadnet,中国广电,2022,net_profit,source_gap_confirmed
china_broadnet,中国广电,2022,capex,source_gap_confirmed
china_broadnet,中国广电,2023,mobile_subscribers,source_gap_confirmed
china_broadnet,中国广电,2023,5g_network_subscribers,available
china_broadnet,中国广电,2023,fixed_broadband_subscribers,source_gap_confirmed
china_broadnet,中国广电,2023,mobile_arpu,source_gap_confirmed
china_broadnet,中国广电,2023,broadband_arpu,source_gap_confirmed
china_broadnet,中国广电,2023,mobile_dou,source_gap_confirmed
china_broadnet,中国广电,2023,total_data_traffic,source_gap_confirmed
china_broadnet,中国广电,2023,5g_base_stations,available
china_broadnet,中国广电,2023,cable_tv_actual_users,available
china_broadnet,中国广电,2023,revenue,source_gap_confirmed
china_broadnet,中国广电,2023,ebitda,source_gap_confirmed
china_broadnet,中国广电,2023,net_profit,source_gap_confirmed
china_broadnet,中国广电,2023,capex,source_gap_confirmed
china_broadnet,中国广电,2024,mobile_subscribers,source_gap_confirmed
china_broadnet,中国广电,2024,5g_network_subscribers,available
china_broadnet,中国广电,2024,fixed_broadband_subscribers,source_gap_confirmed
china_broadnet,中国广电,2024,mobile_arpu,source_gap_confirmed
china_broadnet,中国广电,2024,broadband_arpu,source_gap_confirmed
china_broadnet,中国广电,2024,mobile_dou,source_gap_confirmed
china_broadnet,中国广电,2024,total_data_traffic,source_gap_confirmed
china_broadnet,中国广电,2024,5g_base_stations,source_gap_confirmed
china_broadnet,中国广电,2024,cable_tv_actual_users,available
china_broadnet,中国广电,2024,revenue,source_gap_confirmed
china_broadnet,中国广电,2024,ebitda,source_gap_confirmed
china_broadnet,中国广电,2024,net_profit,source_gap_confirmed
china_broadnet,中国广电,2024,capex,source_gap_confirmed
china_broadnet,中国广电,2025,mobile_subscribers,source_gap_confirmed
china_broadnet,中国广电,2025,5g_network_subscribers,available
china_broadnet,中国广电,2025,fixed_broadband_subscribers,source_gap_confirmed
china_broadnet,中国广电,2025,mobile_arpu,source_gap_confirmed
china_broadnet,中国广电,2025,broadband_arpu,source_gap_confirmed
china_broadnet,中国广电,2025,mobile_dou,source_gap_confirmed
china_broadnet,中国广电,2025,total_data_traffic,source_gap_confirmed
china_broadnet,中国广电,2025,5g_base_stations,source_gap_confirmed
china_broadnet,中国广电,2025,cable_tv_actual_users,available
china_broadnet,中国广电,2025,revenue,source_gap_confirmed
china_broadnet,中国广电,2025,ebitda,source_gap_confirmed
china_broadnet,中国广电,2025,net_profit,source_gap_confirmed
china_broadnet,中国广电,2025,capex,source_gap_confirmed
bharti_airtel,Bharti Airtel,2016,total_customers,available
bharti_airtel,Bharti Airtel,2016,revenue,available
bharti_airtel,Bharti Airtel,2016,ebitda,available
bharti_airtel,Bharti Airtel,2016,net_profit,available
bharti_airtel,Bharti Airtel,2016,capex,available
bharti_airtel,Bharti Airtel,2016,network_towers,available
bharti_airtel,Bharti Airtel,2016,total_data_traffic,available
bharti_airtel,Bharti Airtel,2017,total_customers,available
bharti_airtel,Bharti Airtel,2017,revenue,available
bharti_airtel,Bharti Airtel,2017,ebitda,available
bharti_airtel,Bharti Airtel,2017,net_profit,available
bharti_airtel,Bharti Airtel,2017,capex,available
bharti_airtel,Bharti Airtel,2017,network_towers,available
bharti_airtel,Bharti Airtel,2017,total_data_traffic,available
bharti_airtel,Bharti Airtel,2018,total_customers,available
bharti_airtel,Bharti Airtel,2018,revenue,available
bharti_airtel,Bharti Airtel,2018,ebitda,available
bharti_airtel,Bharti Airtel,2018,net_profit,available
bharti_airtel,Bharti Airtel,2018,capex,available
bharti_airtel,Bharti Airtel,2018,network_towers,available
bharti_airtel,Bharti Airtel,2018,total_data_traffic,available
bharti_airtel,Bharti Airtel,2019,total_customers,available
bharti_airtel,Bharti Airtel,2019,revenue,available
bharti_airtel,Bharti Airtel,2019,ebitda,available
bharti_airtel,Bharti Airtel,2019,net_profit,available
bharti_airtel,Bharti Airtel,2019,capex,available
bharti_airtel,Bharti Airtel,2019,network_towers,available
bharti_airtel,Bharti Airtel,2019,total_data_traffic,available
bharti_airtel,Bharti Airtel,2020,total_customers,available
bharti_airtel,Bharti Airtel,2020,revenue,available
bharti_airtel,Bharti Airtel,2020,ebitda,available
bharti_airtel,Bharti Airtel,2020,net_profit,available
bharti_airtel,Bharti Airtel,2020,capex,available
bharti_airtel,Bharti Airtel,2020,network_towers,available
bharti_airtel,Bharti Airtel,2020,total_data_traffic,available
bharti_airtel,Bharti Airtel,2021,total_customers,available
bharti_airtel,Bharti Airtel,2021,revenue,available
bharti_airtel,Bharti Airtel,2021,ebitda,available
bharti_airtel,Bharti Airtel,2021,net_profit,available
bharti_airtel,Bharti Airtel,2021,capex,available
bharti_airtel,Bharti Airtel,2021,network_towers,available
bharti_airtel,Bharti Airtel,2021,total_data_traffic,not_collected
bharti_airtel,Bharti Airtel,2022,total_customers,available
bharti_airtel,Bharti Airtel,2022,revenue,available
bharti_airtel,Bharti Airtel,2022,ebitda,available
bharti_airtel,Bharti Airtel,2022,net_profit,available
bharti_airtel,Bharti Airtel,2022,capex,available
bharti_airtel,Bharti Airtel,2022,network_towers,available
bharti_airtel,Bharti Airtel,2022,total_data_traffic,not_collected
bharti_airtel,Bharti Airtel,2023,total_customers,available
bharti_airtel,Bharti Airtel,2023,revenue,available
bharti_airtel,Bharti Airtel,2023,ebitda,available
bharti_airtel,Bharti Airtel,2023,net_profit,available
bharti_airtel,Bharti Airtel,2023,capex,available
bharti_airtel,Bharti Airtel,2023,network_towers,available
bharti_airtel,Bharti Airtel,2023,total_data_traffic,not_collected
bharti_airtel,Bharti Airtel,2024,total_customers,available
bharti_airtel,Bharti Airtel,2024,revenue,available
bharti_airtel,Bharti Airtel,2024,ebitda,available
bharti_airtel,Bharti Airtel,2024,net_profit,available
bharti_airtel,Bharti Airtel,2024,capex,available
bharti_airtel,Bharti Airtel,2024,network_towers,available
bharti_airtel,Bharti Airtel,2024,total_data_traffic,not_collected
bharti_airtel,Bharti Airtel,2025,total_customers,available
bharti_airtel,Bharti Airtel,2025,revenue,available
bharti_airtel,Bharti Airtel,2025,ebitda,available
bharti_airtel,Bharti Airtel,2025,net_profit,available
bharti_airtel,Bharti Airtel,2025,capex,available
bharti_airtel,Bharti Airtel,2025,network_towers,available
bharti_airtel,Bharti Airtel,2025,total_data_traffic,not_collected
reliance_jio,Reliance Jio,2016,total_customers,not_applicable_precommercial
reliance_jio,Reliance Jio,2016,value_of_sales_and_services,not_applicable_precommercial
reliance_jio,Reliance Jio,2016,revenue_from_operations,not_applicable_precommercial
reliance_jio,Reliance Jio,2016,ebitda,not_applicable_precommercial
reliance_jio,Reliance Jio,2016,mobile_arpu,not_applicable_precommercial
reliance_jio,Reliance Jio,2016,mobile_dou,not_applicable_precommercial
reliance_jio,Reliance Jio,2016,total_data_traffic,not_applicable_precommercial
reliance_jio,Reliance Jio,2016,5g_network_subscribers,not_collected
reliance_jio,Reliance Jio,2016,connected_homes,not_collected
reliance_jio,Reliance Jio,2016,5g_base_stations,not_collected
reliance_jio,Reliance Jio,2017,total_customers,available
