subject,metric_key,metric_zh,year,local_value,status,source_kind,online_metric,online_value,note,source_url
中国铁塔,revenue_growth_yoy,收入同比增长,2023,1.99%,ok,income,Revenue Growth (YoY),1.99%,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,revenue_growth_yoy,收入同比增长,2024,4.00%,ok,income,Revenue Growth (YoY),4.00%,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,revenue_growth_yoy,收入同比增长,2025,2.70%,ok,income,Revenue Growth (YoY),2.70%,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,gross_profit,毛利,2023,"77,757",ok,income,Gross Profit,77757,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,gross_profit,毛利,2024,"81,207",ok,income,Gross Profit,81207,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,gross_profit,毛利,2025,"83,231",ok,income,Gross Profit,83231,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,gross_margin,毛利率,2023,82.71%,ok,income,Gross Margin,82.71%,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,gross_margin,毛利率,2024,83.06%,ok,income,Gross Margin,83.06%,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,gross_margin,毛利率,2025,82.89%,ok,income,Gross Margin,82.89%,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,operating_income,经营利润/营业利润,2023,"14,898",ok,income,Operating Income,14898,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,operating_income,经营利润/营业利润,2024,"15,804",ok,income,Operating Income,15804,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,operating_income,经营利润/营业利润,2025,"17,187",ok,income,Operating Income,17187,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,operating_margin,经营利润率,2023,15.85%,ok,income,Operating Margin,15.85%,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,operating_margin,经营利润率,2024,16.16%,ok,income,Operating Margin,16.16%,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,operating_margin,经营利润率,2025,17.12%,ok,income,Operating Margin,17.12%,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,net_income,净利润/股东应占利润,2023,"9,750",ok,income,Net Income,9750,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,net_income,净利润/股东应占利润,2024,"10,729",ok,income,Net Income,10729,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,net_income,净利润/股东应占利润,2025,"11,630",ok,income,Net Income,11630,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,ebitda,EBITDA,2023,"52,513",ok,income,EBITDA,52513,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,ebitda,EBITDA,2024,"54,646",ok,income,EBITDA,54646,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,ebitda,EBITDA,2025,"54,676",ok,income,EBITDA,54676,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,ebitda_margin,EBITDA率,2023,55.86%,ok,income_derived,EBITDA / Revenue,55.86%,EBITDA=52513; Revenue=94009; diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,ebitda_margin,EBITDA率,2024,55.89%,ok,income_derived,EBITDA / Revenue,55.89%,EBITDA=54646; Revenue=97772; diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,ebitda_margin,EBITDA率,2025,54.45%,ok,income_derived,EBITDA / Revenue,54.45%,EBITDA=54676; Revenue=100411; diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,operating_cash_flow,经营现金流,2023,"32,840",ok,cashflow,Operating Cash Flow,32840,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/cash-flow-statement/
中国铁塔,operating_cash_flow,经营现金流,2024,"49,468",ok,cashflow,Operating Cash Flow,49468,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/cash-flow-statement/
中国铁塔,operating_cash_flow,经营现金流,2025,"56,116",ok,cashflow,Operating Cash Flow,56116,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/cash-flow-statement/
中国铁塔,capital_expenditures,资本开支,2023,"-33,464",ok,cashflow,Capital Expenditures,-33464,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/cash-flow-statement/
中国铁塔,capital_expenditures,资本开支,2024,"-29,783",ok,cashflow,Capital Expenditures,-29783,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/cash-flow-statement/
中国铁塔,capital_expenditures,资本开支,2025,"-30,510",ok,cashflow,Capital Expenditures,-30510,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/cash-flow-statement/
中国铁塔,free_cash_flow,自由现金流,2023,-624,ok,income,Free Cash Flow,-624,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,free_cash_flow,自由现金流,2024,"19,685",ok,income,Free Cash Flow,19685,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,free_cash_flow,自由现金流,2025,"25,606",ok,income,Free Cash Flow,25606,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,cash_and_equivalents,现金及等价物,2023,"3,955",ok,balance,Cash & Equivalents,3955,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/balance-sheet/
中国铁塔,cash_and_equivalents,现金及等价物,2024,"2,598",ok,balance,Cash & Equivalents,2598,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/balance-sheet/
中国铁塔,cash_and_equivalents,现金及等价物,2025,"12,312",ok,balance,Cash & Equivalents,12312,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/balance-sheet/
