subject,legal_name,ticker,metric_key,metric_zh,year,value,unit
中国联通,China Unicom (Hong Kong) Limited,0762.HK,ebitda,EBITDA,2025,"80,522",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,ebitda_margin,EBITDA率,2023,22.58%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,ebitda_margin,EBITDA率,2024,20.40%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,ebitda_margin,EBITDA率,2025,20.53%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,operating_cash_flow,经营现金流,2023,"102,391",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,operating_cash_flow,经营现金流,2024,"89,402",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,operating_cash_flow,经营现金流,2025,"90,175",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,capital_expenditures,资本开支,2023,"-79,375",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,capital_expenditures,资本开支,2024,"-75,740",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,capital_expenditures,资本开支,2025,"-67,641",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,free_cash_flow,自由现金流,2023,"23,016",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,free_cash_flow,自由现金流,2024,"13,662",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,free_cash_flow,自由现金流,2025,"22,534",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,cash_and_equivalents,现金及等价物,2023,"47,733",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,cash_and_equivalents,现金及等价物,2024,"28,480",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,cash_and_equivalents,现金及等价物,2025,"25,109",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,total_assets,总资产,2023,"661,051",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,total_assets,总资产,2024,"671,237",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,total_assets,总资产,2025,"669,618",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,total_debt,总债务,2023,"46,425",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,total_debt,总债务,2024,"41,207",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,total_debt,总债务,2025,"34,087",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,revenue,营业收入/收益,2023,"94,009",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,revenue,营业收入/收益,2024,"97,772",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,revenue,营业收入/收益,2025,"100,411",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,revenue_growth_yoy,收入同比增长,2023,1.99%,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,revenue_growth_yoy,收入同比增长,2024,4.00%,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,revenue_growth_yoy,收入同比增长,2025,2.70%,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,gross_profit,毛利,2023,"77,757",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,gross_profit,毛利,2024,"81,207",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,gross_profit,毛利,2025,"83,231",millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,gross_margin,毛利率,2023,82.71%,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,gross_margin,毛利率,2024,83.06%,millions CNY
中国铁塔,China Tower Corporation Limited,0788.HK,gross_margin,毛利率,2025,82.89%,millions CNY
