domain,domain_name,entity,metric,metric_label,period,value,unit,verification_status,source_count,source_urls,scope_note
01,本地运营商,3HK,revenue,营收,FY2017,6752.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hthkh.com/en/ir/reports/ir2017/ir2017.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2017/ar2017.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2018/ar2018.pdf""]",FY2025营收 · 三份不同官方文件核验
01,本地运营商,3HK,revenue,营收,FY2018,7912.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hthkh.com/en/ir/reports/ir2018/ir2018.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2018/ar2018.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2019/ar2019.pdf""]",FY2025营收 · 三份不同官方文件核验
01,本地运营商,3HK,revenue,营收,FY2019,5582.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hthkh.com/en/ir/reports/ir2019/ir2019.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2019/ar2019.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2020/ar2020.pdf""]",FY2025营收 · 三份不同官方文件核验
01,本地运营商,3HK,revenue,营收,FY2020,4545.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hthkh.com/en/ir/reports/ir2020/ir2020.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2020/ar2020.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf""]",FY2025营收 · 三份不同官方文件核验
01,本地运营商,3HK,revenue,营收,FY2021,5385.0,百万港元,official_source_count_below_three_displayed,2,"[""https://www.hthkh.com/en/ir/reports/ir2021/ir2021.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf""]",FY2025营收 · 三份不同官方文件核验
01,本地运营商,3HK,revenue,营收,FY2022,4882.0,百万港元,official_source_count_below_three_displayed,2,"[""https://www.hthkh.com/en/ir/reports/ir2022/ir2022.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf""]",FY2025营收 · 三份不同官方文件核验
01,本地运营商,3HK,revenue,营收,FY2023,4896.0,百万港元,official_three_distinct_sources_verified,6,"[""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""https://www.hthkh.com/en/ir/reports/ir2023/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2023/highlights.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2023/cashflows.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2023/financialposition.pdf""]",FY2025营收 · 三份不同官方文件核验
01,本地运营商,3HK,revenue,营收,FY2024,4782.0,百万港元,official_three_distinct_sources_verified,6,"[""https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf"", ""https://www.hthkh.com/en/ir/reports/ir2024/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2024/highlights.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2024/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2024/cashflows.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2024/financialposition.pdf""]",FY2025营收 · 三份不同官方文件核验
01,本地运营商,3HK,revenue,营收,FY2025,5448.0,百万港元,official_three_distinct_sources_verified,6,"[""https://www.hthkh.com/en/ir/reports/ir2025/highlights.pdf"", ""https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/highlights.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/cashflows.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/financialposition.pdf""]",FY2025营收 · 三份不同官方文件核验
01,本地运营商,HKT,ebitda,EBITDA,FY2016,12684.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hkexnews.hk/listedco/listconews/sehk/2017/0214/LTN20170214212.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2017/0113/LTN20170113262.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2018/0328/LTN20180328828.pdf""]",FY2025 EBITDA金额
01,本地运营商,HKT,ebitda,EBITDA,FY2017,12997.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hkexnews.hk/listedco/listconews/sehk/2018/0328/LTN20180328828.pdf"", ""https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0206/ltn20180206887.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2019/0401/ltn201904011788.pdf""]",FY2025 EBITDA金额
01,本地运营商,HKT,ebitda,EBITDA,FY2018,12558.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hkexnews.hk/listedco/listconews/sehk/2019/0401/ltn201904011788.pdf"", ""https://www.hkt.com/api-service/assets/hkt-2018-annual-res.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2020/0401/2020040101873.pdf""]",FY2025 EBITDA金额
01,本地运营商,HKT,ebitda,EBITDA,FY2019,12817.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hkexnews.hk/listedco/listconews/sehk/2020/0401/2020040101873.pdf"", ""https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0212/2020021200306.pdf"", ""https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0331/2021033101080.pdf""]",FY2025 EBITDA金额
01,本地运营商,HKT,ebitda,EBITDA,FY2020,12527.0,百万港元,official_source_count_below_three_displayed,2,"[""https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0331/2021033101080.pdf"", ""https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0331/2022033101300.pdf""]",FY2025 EBITDA金额
01,本地运营商,HKT,ebitda,EBITDA,FY2021,12733.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0331/2022033101300.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2023/0331/2023033101585.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2021/0902/2021090200868.pdf""]",FY2025 EBITDA金额
01,本地运营商,HKT,ebitda,EBITDA,FY2022,13064.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hkexnews.hk/listedco/listconews/sehk/2023/0331/2023033101585.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2024/0402/2024040202244.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2022/0908/2022090800325.pdf""]",FY2025 EBITDA金额
01,本地运营商,HKT,ebitda,EBITDA,FY2023,13400.0,百万港元,official_source_count_below_three_displayed,2,"[""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""https://www.pcrd.com/public/uploads/keys/20_2_2025_-_Announcement_relating_to_HKT_Limited_2024_Annual_Results.pdf""]",FY2025 EBITDA金额
01,本地运营商,HKT,ebitda,EBITDA,FY2024,13743.0,百万港元,official_source_count_below_three_displayed,2,"[""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""https://www.pcrd.com/public/uploads/keys/20_2_2025_-_Announcement_relating_to_HKT_Limited_2024_Annual_Results.pdf""]",FY2025 EBITDA金额
01,本地运营商,HKT,ebitda,EBITDA,FY2025,14234.0,百万港元,official_three_distinct_sources_verified,4,"[""https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf"", ""https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0209/2026020900404.pdf"", ""https://www.hkt.com/api-service/assets/e-2025_Annual_Report.pdf"", ""https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf""]",FY2025 EBITDA金额
01,本地运营商,HKT,net_profit,净利润,FY2021,4808.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hkexnews.hk/listedco/listconews/sehk/2021/0902/2021090200868.pdf"", ""https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0331/2022033101300.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2023/0331/2023033101585.pdf""]",FY2025净利润金额
01,本地运营商,HKT,net_profit,净利润,FY2022,4901.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hkexnews.hk/listedco/listconews/sehk/2022/0908/2022090800325.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2023/0331/2023033101585.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2024/0402/2024040202244.pdf""]",FY2025净利润金额
01,本地运营商,HKT,net_profit,净利润,FY2024,5070.0,百万港元,official_three_distinct_sources_verified,5,"[""https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0905/2024090500415.pdf"", ""https://www.pcrd.com/public/uploads/keys/25_7_2024_-_Announcement_relating_to_HKT_Limited_2024_Interim_Results.pdf"", ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2025/0402/2025040200953.pdf"", ""https://www.hkt.com/api-service/assets/e01-2024%20Annual%20Report.pdf""]",FY2025净利润金额
01,本地运营商,HKT,net_profit,净利润,FY2025,5286.0,百万港元,official_three_distinct_sources_verified,6,"[""https://www.hkexnews.hk/listedco/listconews/sehk/2025/0904/2025090400705.pdf"", ""https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0209/2026020900404.pdf"", ""https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf"", ""https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0401/2026040101820.pdf"", ""https://www.hkt.com/api-service/assets/e-2025_Annual_Report.pdf"", ""https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf""]",FY2025净利润金额
01,本地运营商,HKT,postpaid,后付费用户数,FY2016,3.13,百万户,official_source_count_below_three_displayed,3,"[""https://www.hkt.com/api-service/assets/01e%20-%20Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2017.01.13%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202016%20Annual%20Res.pdf""]",FY2025后付费用户数
01,本地运营商,HKT,postpaid,后付费用户数,FY2017,3.217,百万户,official_source_count_below_three_displayed,3,"[""https://www.hkt.com/api-service/assets/e01-%20Annual%20Report.pdf"", ""https://www.hkt.com/api-service/assets/e01-2018.02.06%20(201.pdf"", ""https://www.hkt.com/api-service/assets/HKT%202017%20Annual%20Res.pdf""]",FY2025后付费用户数
01,本地运营商,HKT,postpaid,后付费用户数,FY2018,3.247,百万户,official_source_count_below_three_displayed,3,"[""https://www.hkt.com/api-service/assets/2018-hkt-annual-re_e.pdf"", ""https://www.hkt.com/api-service/assets/e01-2019.02.22%20(201.pdf"", ""https://www.hkt.com/api-service/assets/hkt-2018-annual-res.pdf""]",FY2025后付费用户数
01,本地运营商,HKT,postpaid,后付费用户数,FY2019,3.25,百万户,official_source_count_below_three_displayed,3,"[""https://www.hkt.com/api-service/assets/e1-Annual-Report.pdf"", ""https://www.hkt.com/api-service/assets/e-2020.02.12%20(2019%20.pdf"", ""https://www.hkt.com/api-service/assets/hkt-2019-annual-res.pdf""]",FY2025后付费用户数
01,本地运营商,HKT,postpaid,后付费用户数,FY2020,3.252,百万户,official_source_count_below_three_displayed,3,"[""https://www.hkt.com/api-service/assets/e01_Annual%20Report.pdf"", ""https://www.hkt.com/api-service/assets/e01-2021.02.04%20(202.pdf"", ""https://www.hkt.com/api-service/assets/hkt-2020-annual-res.pdf""]",FY2025后付费用户数
01,本地运营商,HKT,postpaid,后付费用户数,FY2021,3.297,百万户,official_source_count_below_three_displayed,3,"[""https://www.hkt.com/api-service/assets/e01-e_Annual%20Repor.pdf"", ""https://www.hkt.com/api-service/assets/e01-2022.02.24%20(202.pdf"", ""https://www.hkt.com/api-service/assets/hkt-2021-annual-res.pdf""]",FY2025后付费用户数
01,本地运营商,HKT,postpaid,后付费用户数,FY2022,3.323,百万户,official_source_count_below_three_displayed,3,"[""https://www.hkt.com/api-service/assets/e01-HKT%20Annual%20Rep.pdf"", ""https://www.hkt.com/api-service/assets/e01-2023.02.23%20(202.pdf"", ""https://www.hkt.com/api-service/assets/hkt-2022-annual-res.pdf""]",FY2025后付费用户数
01,本地运营商,HKT,postpaid,后付费用户数,FY2023,3.428,百万户,official_source_count_below_three_displayed,3,"[""https://www.hkt.com/api-service/assets/e01-2023%20Annual%20Re.pdf"", ""https://www.hkt.com/api-service/assets/e01-hkt-2023-annual.pdf"", ""https://www.hkt.com/api-service/assets/hkt-2023-annual-res.pdf""]",FY2025后付费用户数
01,本地运营商,HKT,postpaid,后付费用户数,FY2024,3.459,百万户,official_source_count_below_three_displayed,3,"[""https://www.hkt.com/api-service/assets/e01-2024%20Annual%20Report.pdf"", ""https://www.hkt.com/api-service/assets/e01-2025.02.20%20(2024%20Annual%20Results%20Announcement).pdf"", ""https://www.hkt.com/api-service/assets/hkt-2024-annual-results-presentation.pdf""]",FY2025后付费用户数
01,本地运营商,HKT,postpaid,后付费用户数,FY2025,3.494,百万户,official_source_count_below_three_displayed,3,"[""https://www.hkt.com/api-service/assets/e-2025_Annual_Report.pdf"", ""https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf"", ""https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf""]",FY2025后付费用户数
01,本地运营商,HKT,revenue,营收,FY2016,33847.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hkexnews.hk/listedco/listconews/sehk/2017/0214/LTN20170214212.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2017/0113/LTN20170113262.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2018/0328/LTN20180328828.pdf""]",FY2025营收 · 三份不同官方文件核验
01,本地运营商,HKT,revenue,营收,FY2017,33258.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hkexnews.hk/listedco/listconews/sehk/2018/0328/LTN20180328828.pdf"", ""https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0206/ltn20180206887.pdf"", ""https://www.hkexnews.hk/listedco/listconews/sehk/2019/0401/ltn201904011788.pdf""]",FY2025营收 · 三份不同官方文件核验
